Name,state_id,current,second,third,fourth,fifth,last
Alaska,AK,1022600000,20000000,14200000,6500000,5200000,2700000
Wyoming,WY,681100000,34700000,27200000,13800000,8100000,1800000
North Dakota,ND,1013700000,47100000,39200000,19300000,12400000,3300000
Vermont,VT,1344800000,55000000,37000000,18400000,10900000,3000000
South Dakota,SD,1534000000,62700000,47900000,25600000,15800000,4100000
Hawaii,HI,1818100000,74700000,115200000,49300000,4100000,3900000
Montana,MT,1778800000,83200000,64600000,28700000,21900000,6000000
Rhode Island,RI,1909400000,95100000,78900000,37000000,23700000,6100000
Maine,ME,2595900000,115900000,93500000,45100000,32700000,9600000
Delaware,DE,1659600000,119300000,89800000,41300000,26800000,6600000
New Hampshire,NH,2796000000,127000000,87400000,42700000,26900000,7400000
Nebraska,NE,3299000000,141300000,106600000,48100000,35500000,11300000
District of Columbia,DC,3281600000,145400000,108000000,49800000,30100000,7800000
Idaho,ID,3128500000,150500000,117100000,53500000,38700000,10000000
West Virginia,WV,2694300000,171600000,145700000,73400000,52200000,15800000
Utah,UT,4146800000,182400000,135700000,64600000,43800000,10200000
New Mexico,NM,2916200000,185500000,149700000,71000000,50900000,13500000
Nevada,NZ,4230800000,260800000,194100000,97400000,72400000,16000000
Iowa,IA,5674300000,290300000,235200000,116200000,78600000,24600000
Kansas,KS,4808100000,290900000,225300000,108500000,73600000,20500000
Arkansas,AR,4150700000,317800000,277500000,136900000,93100000,19200000
Connecticut,CT,6610800000,381300000,290500000,131900000,89900000,19000000
Oklahoma,OK,5196100000,385400000,304000000,163900000,102600000,26900000
Oregon,OR,9157000000,423300000,279800000,138500000,102000000,26600000
Kentucky,KY,7039600000,456200000,375200000,186300000,128900000,31900000
Mississippi,MS,4782400000,461400000,381800000,173900000,121800000,25800000
Minnesota,MN,11907100000,515600000,390400000,186900000,120900000,27700000
Washington,WA,12766800000,542700000,365400000,169200000,117000000,30400000
Wisconsin,WI,9857100000,550100000,333500000,155900000,98200000,25900000
Colorado,CO,12363500000,582000000,418000000,200300000,139100000,34100000
Massachusetts,MA,13547400000,590600000,417400000,194700000,132900000,36800000
Alabama,AL,7581700000,593100000,480500000,244500000,150700000,39800000
Louisiana,LA,6686100000,603100000,505300000,230900000,155300000,29800000
Arizona,AZ,11723100000,701300000,540800000,253200000,176500000,49100000
Indiana,IN,11412200000,727100000,677600000,332800000,182100000,45200000
Missouri,MO,11169700000,732600000,567300000,281500000,200500000,44400000
Tennessee,TN,11333400000,777700000,624900000,292600000,196800000,47800000
South Carolina,SC,9551600000,854600000,677800000,248200000,162900000,35100000
Maryland,MD,13453300000,957600000,665700000,303800000,192600000,48800000
New Jersey,NJ,16181800000,977200000,714600000,316800000,198300000,46200000
Virginia,VA,16561000000,993300000,740800000,331000000,221400000,51300000
Michigan,MI,20639400000,1176300000,951300000,463200000,309800000,78100000
Illinois,IL,25163000000,1407900000,1055200000,453300000,286300000,71000000
Ohio,OH,24375900000,1408500000,1164500000,568100000,392900000,100300000
Pennsylvania,PA,25779100000,1441900000,1073300000,502500000,332800000,79700000
North Carolina,NC,17123100000,1795500000,1315600000,284900000,178100000,60800000
New York,NY,38761900000,2154700000,1593300000,723400000,481400000,117100000
Georgia,GA,23058200000,2225500000,1411200000,634500000,460500000,118100000
Florida,FL,36511600000,2629400000,1842000000,813900000,1505300000,428600000
Texas,TX,40975600000,2970400000,2454400000,1063600000,872600000,253700000
California,CA,59945900000,4707600000,1570700000,794400000,785700000,152400000
